study_id,author,timepoint,timing_mo,n_exp,n_ctrl,pre_m_exp,pre_sd_exp,pre_m_ctrl,pre_sd_ctrl,m_exp,sd_exp,m_ctrl,sd_ctrl,measure,m_type,sd_type,ci_lower_exp,ci_upper_exp,ci_lower_ctrl,ci_upper_ctrl,change_mean_exp,change_mean_ctrl,ci_lower_between,ci_upper_between,reported_d_between,te,se_te,n_dropout_exp,n_dropout_ctrl,notes,yi,vi,method,sd_change_exp,sd_change_ctrl,hedges_g_original,variance_original,se_original,hedges_g_final,variance_final,se_final,effect_direction
2,Stice 2008,post,3,80,84,18.2,7.53,19.6,9.23,14.25,8.98,16.71,9.74,BDI,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26112503629567335,0.15688418313751895,4,1,2010 paper Table,0.26112503629567335,0.02461264691872659,escalc_SMD,NA,NA,-0.26112503629567335,0.02461264691872659,0.15688418313751895,0.26112503629567335,0.02461264691872659,0.15688418313751895,positive values favor intervention
2,Stice 2008,fu_6mo,6,80,84,18.2,7.53,19.6,9.23,15.73,10.36,17.22,10.93,BDI,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13918081331061677,0.15640914532899888,NA,NA,2010 paper Table,0.13918081331061677,0.024463820742547895,escalc_SMD,NA,NA,-0.13918081331061677,0.024463820742547895,0.15640914532899888,0.13918081331061677,0.024463820742547895,0.15640914532899888,positive values favor intervention
2,Stice 2010,fu_12mo,12,80,84,18.2,7.53,19.6,9.23,12.58,9.86,14.45,10.04,BDI,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18701862509511924,0.15656115721292016,NA,NA,2010 paper Table; biblio vs brochure ctrl,0.18701862509511924,0.0245113959478487,escalc_SMD,NA,NA,-0.18701862509511924,0.0245113959478487,0.15656115721292016,0.18701862509511924,0.0245113959478487,0.15656115721292016,positive values favor intervention
2,Stice 2010,fu_24mo,24,80,84,18.2,7.53,19.6,9.23,11.59,8.71,12.6,9.44,BDI,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11057950483944064,0.15633950832976937,NA,NA,2010 paper Table,0.11057950483944064,0.024442041864794026,escalc_SMD,NA,NA,-0.11057950483944064,0.024442041864794026,0.15633950832976937,0.11057950483944064,0.024442041864794026,0.15633950832976937,positive values favor intervention
3,Bohr 2023,post,2,13,19,22.9,8.3,25.5,8.54,23.21,8.86,23.68,8.58,CESD-R,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05270104912967088,0.3599972954821994,7,9,"Cluster RCT; ICC correction needed; EXP worsened, CTRL improved",0.05270104912967088,0.12959805275449798,escalc_SMD,NA,NA,-0.05270104912967088,0.12959805275449798,0.3599972954821994,0.05270104912967088,0.12959805275449798,0.3599972954821994,positive values favor intervention
5,Ip 2016,post,8,130,127,20.66,9.32,20.43,9.43,19.77,8.35,21.72,9.71,CESD-R,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2148924638815641,0.1251245995291479,7,0,N=randomized (completed NR),0.2148924638815641,0.015656165407329635,escalc_SMD,NA,NA,-0.2148924638815641,0.015656165407329635,0.1251245995291479,0.2148924638815641,0.015656165407329635,0.1251245995291479,positive values favor intervention
5,Ip 2016,fu_12mo,12,130,127,20.66,9.32,20.43,9.43,20.59,8.41,23.66,8.5,CESD-R,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3620471398408874,0.12578290527855457,NA,NA,Table 3 T4; N=randomized,0.3620471398408874,0.015821339260313833,escalc_SMD,NA,NA,-0.3620471398408874,0.015821339260313833,0.12578290527855457,0.3620471398408874,0.015821339260313833,0.12578290527855457,positive values favor intervention
6,Makarushka 2011,post,1.5,76,85,26.91,8.74,27.19,9.12,21.47,9.04,25.01,10.09,CES-D,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36666276576195067,0.1591858067346681,15,8,EM imputed (Table 4); N=assigned,0.36666276576195067,0.025340121065767104,escalc_SMD,NA,NA,-0.36666276576195067,0.025340121065767104,0.1591858067346681,0.36666276576195067,0.025340121065767104,0.1591858067346681,positive values favor intervention
6,Makarushka 2011,fu_6mo,6,76,85,26.91,8.74,27.19,9.12,18.62,9.67,21.58,10.35,CES-D,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2935740409839518,0.15871439168229876,NA,NA,EM imputed (Table 5); p=.059,0.2935740409839518,0.025190258127082147,escalc_SMD,NA,NA,-0.2935740409839518,0.025190258127082147,0.15871439168229876,0.2935740409839518,0.025190258127082147,0.15871439168229876,positive values favor intervention
8,O'Dea 2020,post,1,81,82,14.59,6.88,12.73,6.68,12.33,7.11,11.13,7.2,PHQ-A,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1669223642847404,0.15692759642880622,17,13,"Primary outcome (depressive symptoms) non-significant (d = 0.26, p = .138); intervention primarily targets relationship issues, no depression severity threshold at baseline",-0.1669223642847404,0.02462627052092227,escalc_SMD,NA,NA,0.1669223642847404,0.02462627052092227,0.15692759642880622,-0.1669223642847404,0.02462627052092227,0.15692759642880622,positive values favor intervention
8,O'Dea 2020,fu_3mo,3,55,60,14.59,6.88,12.73,6.68,12.05,7.1,11.27,7.12,PHQ-A,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.10896773951832213,0.1868157134649621,NA,NA,"Primary outcome (depressive symptoms) non-significant (d = 0.26, p = .138); intervention primarily targets relationship issues, no depression severity threshold at baseline",-0.10896773951832213,0.03490011079742282,escalc_SMD,NA,NA,0.10896773951832213,0.03490011079742282,0.1868157134649621,-0.10896773951832213,0.03490011079742282,0.1868157134649621,positive values favor intervention
10,Poppelaars 2016,post,0,51,51,62.61,11.97,61.9,11.97,57.88,12.57,57.74,12.56,RADS-2,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.011058250433454347,0.19803102209074996,2,0,Immediately post-intervention / within 1 week,-0.011058250433454347,0.0392162857103071,escalc_SMD,NA,NA,0.011058250433454347,0.0392162857103071,0.19803102209074996,-0.011058250433454347,0.0392162857103071,0.19803102209074996,positive values favor intervention
10,Poppelaars 2016,fu_3mo,3,51,51,62.61,11.97,61.9,11.97,54.78,10.3,56.06,13.04,RADS-2,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10811546623787882,0.19817412815204388,NA,NA,Immediately post-intervention / within 1 week,0.10811546623787882,0.039272985068822715,escalc_SMD,NA,NA,-0.10811546623787882,0.039272985068822715,0.19817412815204388,0.10811546623787882,0.039272985068822715,0.19817412815204388,positive values favor intervention
10,Poppelaars 2016,fu_6mo,6,51,51,62.61,11.97,61.9,11.97,58.17,12.72,57.62,13.33,RADS-2,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.04189737692800539,0.19805123359474247,NA,NA,Immediately post-intervention / within 1 week,-0.04189737692800539,0.03922429112839925,escalc_SMD,NA,NA,0.04189737692800539,0.03922429112839925,0.19805123359474247,-0.04189737692800539,0.03922429112839925,0.19805123359474247,positive values favor intervention
