study_id,author,timepoint,timing_mo,n_exp,n_ctrl,pre_m_exp,pre_sd_exp,pre_m_ctrl,pre_sd_ctrl,m_exp,sd_exp,m_ctrl,sd_ctrl,measure,m_type,sd_type,ci_lower_exp,ci_upper_exp,ci_lower_ctrl,ci_upper_ctrl,change_mean_exp,change_mean_ctrl,ci_lower_between,ci_upper_between,reported_d_between,te,se_te,n_dropout_exp,n_dropout_ctrl,notes,yi,vi,method,sd_change_exp,sd_change_ctrl,hedges_g_original,variance_original,se_original,hedges_g_final,variance_final,se_final,effect_direction
2,Stice 2008,post,3,80,84,18.2,7.53,19.6,9.23,14.25,8.98,16.71,9.74,BDI,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26112503629567335,0.15688418313751895,4,1,2010 paper Table,0.26112503629567335,0.02461264691872659,escalc_SMD,NA,NA,-0.26112503629567335,0.02461264691872659,0.15688418313751895,0.26112503629567335,0.02461264691872659,0.15688418313751895,positive values favor intervention
5,Ip 2016,post,8,130,127,20.66,9.32,20.43,9.43,19.77,8.35,21.72,9.71,CESD-R,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2148924638815641,0.1251245995291479,7,0,N=randomized (completed NR),0.2148924638815641,0.015656165407329635,escalc_SMD,NA,NA,-0.2148924638815641,0.015656165407329635,0.1251245995291479,0.2148924638815641,0.015656165407329635,0.1251245995291479,positive values favor intervention
6,Makarushka 2011,post,1.5,76,85,26.91,8.74,27.19,9.12,21.47,9.04,25.01,10.09,CES-D,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36666276576195067,0.1591858067346681,15,8,EM imputed (Table 4); N=assigned,0.36666276576195067,0.025340121065767104,escalc_SMD,NA,NA,-0.36666276576195067,0.025340121065767104,0.1591858067346681,0.36666276576195067,0.025340121065767104,0.1591858067346681,positive values favor intervention
8,O'Dea 2020,post,1,81,82,14.59,6.88,12.73,6.68,12.33,7.11,11.13,7.2,PHQ-A,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1669223642847404,0.15692759642880622,17,13,"Primary outcome (depressive symptoms) non-significant (d = 0.26, p = .138); intervention primarily targets relationship issues, no depression severity threshold at baseline",-0.1669223642847404,0.02462627052092227,escalc_SMD,NA,NA,0.1669223642847404,0.02462627052092227,0.15692759642880622,-0.1669223642847404,0.02462627052092227,0.15692759642880622,positive values favor intervention
10,Poppelaars 2016,post,0,51,51,62.61,11.97,61.9,11.97,57.88,12.57,57.74,12.56,RADS-2,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.011058250433454347,0.19803102209074996,2,0,Immediately post-intervention / within 1 week,-0.011058250433454347,0.0392162857103071,escalc_SMD,NA,NA,0.011058250433454347,0.0392162857103071,0.19803102209074996,-0.011058250433454347,0.0392162857103071,0.19803102209074996,positive values favor intervention
11,Ranney 2018,post,2,55,55,13.6,8.6,13.4,10.1,14.8,12.4,15,11.9,BDI-II,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01634282465578148,0.19069570105177003,3,3,NA,0.01634282465578148,0.036364850399626045,escalc_SMD,NA,NA,-0.01634282465578148,0.036364850399626045,0.19069570105177003,0.01634282465578148,0.036364850399626045,0.19069570105177003,positive values favor intervention
12,Smith 2015,post,2,55,55,25.6,11.1,24.8,11.8,13.4,12.9,24.3,13.6,MFQ-C,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8166283928870158,0.19848153030708413,0,2,"Only the post-treatment assessment represents a true randomized controlled comparison. The 3- and 6-month follow-ups included only the Stressbusters group; the waiting-list group was offered Stressbusters after the waiting period, so these later follow-up data cannot be treated as comparative exp-versus-control follow-up outcomes.",0.8166283928870158,0.03939491787304195,escalc_SMD,NA,NA,-0.8166283928870158,0.03939491787304195,0.19848153030708413,0.8166283928870158,0.03939491787304195,0.19848153030708413,positive values favor intervention
13,Stasiak 2014,post,1.5,17,17,48.29,6.49,45.47,9.44,30.41,7.38,36.29,13.77,CDRS-R,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5196760691785306,0.34873855066335463,1,4,NA,0.5196760691785306,0.12161857671877718,escalc_SMD,NA,NA,-0.5196760691785306,0.12161857671877718,0.34873855066335463,0.5196760691785306,0.12161857671877718,0.34873855066335463,positive values favor intervention
14,Wright 2020,post,4,42,44,18,6.9,16,6.6,14.4,9.3,15.4,9.2,BDI,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10715171855234179,0.21587855240903236,28,25,"1. Baseline imbalance on primary outcome: BDI exp 18.0 (SD=6.9) vs ctrl 16.0 (SD=6.6); no baseline adjustment in multilevel model.

2. High attrition: 4-month analysed n=42/70 (exp) and 44/69 (ctrl); 12-month analysed n=38/70 (exp) and 37/69 (ctrl). No ITT with imputation; mixed model included only participants with data at ≥1 post-randomisation timepoint.",0.10715171855234179,0.04660354939021933,escalc_SMD,NA,NA,-0.10715171855234179,0.04660354939021933,0.21587855240903236,0.10715171855234179,0.04660354939021933,0.21587855240903236,positive values favor intervention
15,Rohde 2015,post,2,128,124,1.45,0.41,1.38,0.36,1.5,0.42,1.51,0.41,K-SADS composite,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024017639691153673,0.12600857378275132,6,8,"K-SADS 16-item composite (study-specific 4-point averaged scale); MI imputed means (20 datasets, Rubin's rules); N reported = randomized N per Table 1 note.",0.024017639691153673,0.01587816066676308,escalc_SMD,NA,NA,-0.024017639691153673,0.01587816066676308,0.12600857378275132,0.024017639691153673,0.01587816066676308,0.12600857378275132,positive values favor intervention
